Report: Geographic.
                       country                         views       estimatedMinutesWatched                        shares                         likes                      comments
                            AE                          14.0                          51.0                           0.0                           0.0                           0.0
                            AL                           1.0                           0.0                           0.0                           0.0                           0.0
                            AR                           4.0                           6.0                           0.0                           0.0                           0.0
                            AT                           1.0                           0.0                           0.0                           0.0                           0.0
                            AU                          33.0                         184.0                           0.0                           0.0                           0.0
                            BE                           8.0                          44.0                           0.0                           0.0                           0.0
                            BG                           1.0                           0.0                           0.0                           0.0                           0.0
                            BR                           8.0                          25.0                           2.0                           0.0                           0.0
                            BW                           2.0                           0.0                           0.0                           0.0                           0.0
                            CA                         127.0                         653.0                           0.0                           1.0                           0.0
                            CH                           1.0                           0.0                           0.0                           0.0                           0.0
                            CO                           1.0                          13.0                           0.0                           0.0                           0.0
                            CR                           4.0                           4.0                           0.0                           0.0                           0.0
                            CU                           1.0                           0.0                           0.0                           0.0                           0.0
                            CZ                           1.0                           0.0                           0.0                           0.0                           0.0
                            DE                          33.0                         217.0                           0.0                           0.0                           0.0
                            DK                           1.0                           0.0                           0.0                           0.0                           0.0
                            DZ                           7.0                           5.0                           0.0                           0.0                           0.0
                            EC                           1.0                           0.0                           0.0                           0.0                           0.0
                            EG                          13.0                          38.0                           0.0                           0.0                           0.0
                            ES                          22.0                          24.0                           0.0                           0.0                           0.0
                            FI                           8.0                          92.0                           0.0                           0.0                           0.0
                            FR                          34.0                          79.0                           0.0                           0.0                           0.0
                            GB                         141.0                        1042.0                           0.0                           0.0                           0.0
                            GR                           1.0                           1.0                           0.0                           0.0                           0.0
                            HK                           3.0                          18.0                           0.0                           0.0                           0.0
                            HU                           4.0                          17.0                           0.0                           0.0                           0.0
                            ID                          21.0                          31.0                           0.0                           0.0                           0.0
                            IE                           4.0                          12.0                           0.0                           0.0                           0.0
                            IL                           6.0                          15.0                           0.0                           0.0                           0.0
                            IN                        1856.0                        8699.0                           0.0                          16.0                           6.0
                            IR                           1.0                           0.0                           0.0                           0.0                           0.0
                            IT                          17.0                          49.0                           0.0                           0.0                           1.0
                            JM                           2.0                           2.0                           0.0                           0.0                           0.0
                            JO                           1.0                           0.0                           0.0                           0.0                           0.0
                            JP                           7.0                          24.0                           0.0                           0.0                           0.0
                            KR                          16.0                          13.0                           0.0                           0.0                           0.0
                            LK                           1.0                           0.0                           0.0                           0.0                           0.0
                            LU                           1.0                           9.0                           0.0                           0.0                           0.0
                            MA                          21.0                          77.0                           0.0                           0.0                           0.0
                            MO                           1.0                           0.0                           0.0                           0.0                           0.0
                            MX                           1.0                           6.0                           0.0                           0.0                           0.0
                            MY                           2.0                           3.0                           0.0                           0.0                           0.0
                            NL                          19.0                         154.0                           0.0                           0.0                           0.0
                            NZ                           2.0                           5.0                           0.0                           0.0                           0.0
                            PH                           3.0                          16.0                           0.0                           0.0                           0.0
                            PL                           8.0                          14.0                           0.0                           0.0                           0.0
                            PR                           1.0                           2.0                           0.0                           0.0                           0.0
                            PT                           3.0                           4.0                           0.0                           0.0                           0.0
                            RO                           4.0                           1.0                           0.0                           0.0                           0.0
                            RS                           2.0                           0.0                           0.0                           0.0                           0.0
                            SA                          14.0                         142.0                           0.0                           0.0                           0.0
                            SD                           1.0                           2.0                           0.0                           0.0                           0.0
                            SE                           8.0                          27.0                           0.0                           0.0                           0.0
                            SG                          13.0                          27.0                           0.0                           0.0                           0.0
                            SK                           1.0                           0.0                           0.0                           0.0                           0.0
                            TH                          55.0                         408.0                           0.0                           0.0                           0.0
                            TN                           4.0                           1.0                           0.0                           0.0                           0.0
                            TR                          22.0                          48.0                           0.0                           0.0                           0.0
                            TW                          20.0                          57.0                           0.0                           0.0                           0.0
                            UA                           7.0                           4.0                           0.0                           0.0                           0.0
                            US                        1949.0                       10526.0                           2.0                          16.0                          11.0
                            VN                          18.0                          21.0                           0.0                           0.0                           0.0
                            ZA                           3.0                           5.0                           0.0                           0.0                           0.0
                            ZZ                          15.0                         126.0                           0.0                           0.0                           0.0

