Report: Likes Over Time.
                           day                         views                         likes                      dislikes                        shares
                    2015-02-01                         218.0                           1.0                           0.0                           1.0
                    2015-02-02                         322.0                           8.0                           0.0                           0.0
                    2015-02-03                         304.0                           3.0                           0.0                           0.0
                    2015-02-04                         279.0                           1.0                           0.0                           0.0
                    2015-02-05                         306.0                           4.0                           0.0                           0.0
                    2015-02-06                         186.0                           0.0                           0.0                           0.0
                    2015-02-07                         257.0                           1.0                           0.0                           0.0
                    2015-02-08                         221.0                           3.0                           2.0                           0.0
                    2015-02-09                         220.0                           0.0                           0.0                           0.0
                    2015-02-10                         174.0                           2.0                           1.0                           1.0
                    2015-02-11                         233.0                           1.0                           0.0                           0.0
                    2015-02-12                         218.0                           1.0                           0.0                           0.0
                    2015-02-13                         111.0                           0.0                           0.0                           0.0
                    2015-02-14                         122.0                           0.0                           0.0                           0.0
                    2015-02-15                         113.0                           0.0                           0.0                           0.0
                    2015-02-16                         201.0                           0.0                           0.0                           2.0
                    2015-02-17                         319.0                           2.0                           0.0                           0.0
                    2015-02-18                         217.0                           0.0                           0.0                           0.0
                    2015-02-19                         211.0                           3.0                           0.0                           0.0
                    2015-02-20                         179.0                           3.0                           1.0                           0.0
                    2015-02-21                         194.0                           0.0                           0.0                           0.0

