Report: Playback Location.
                           day                         views       estimatedMinutesWatched
                    2015-02-01                         218.0                        1147.0
                    2015-02-02                         322.0                        1710.0
                    2015-02-03                         304.0                        1585.0
                    2015-02-04                         279.0                        1496.0
                    2015-02-05                         306.0                        1640.0
                    2015-02-06                         186.0                         832.0
                    2015-02-07                         257.0                        1393.0
                    2015-02-08                         221.0                        1099.0
                    2015-02-09                         220.0                        1279.0
                    2015-02-10                         174.0                         786.0
                    2015-02-11                         233.0                        1003.0
                    2015-02-12                         218.0                         789.0
                    2015-02-13                         111.0                         393.0
                    2015-02-14                         122.0                         541.0
                    2015-02-15                         113.0                         645.0
                    2015-02-16                         201.0                        1291.0
                    2015-02-17                         319.0                        1406.0
                    2015-02-18                         217.0                        1071.0
                    2015-02-19                         211.0                        1354.0
                    2015-02-20                         179.0                         899.0
                    2015-02-21                         194.0                         700.0

