Report: Views Over Time.
                           day                         views                       uniques
                    2015-02-01                         218.0                          77.0
                    2015-02-02                         322.0                          92.0
                    2015-02-03                         304.0                          82.0
                    2015-02-04                         279.0                          88.0
                    2015-02-05                         306.0                          85.0
                    2015-02-06                         186.0                          67.0
                    2015-02-07                         257.0                          58.0
                    2015-02-08                         221.0                          71.0
                    2015-02-09                         220.0                          71.0
                    2015-02-10                         174.0                          62.0
                    2015-02-11                         233.0                          77.0
                    2015-02-12                         218.0                          81.0
                    2015-02-13                         111.0                          41.0
                    2015-02-14                         122.0                          45.0
                    2015-02-15                         113.0                          45.0
                    2015-02-16                         201.0                          67.0
                    2015-02-17                         319.0                          73.0
                    2015-02-18                         217.0                          70.0
                    2015-02-19                         211.0                          75.0
                    2015-02-20                         179.0                          56.0
                    2015-02-21                         194.0                          53.0

